"(23, 29)","[(131327761273, 1), (1173922372300235340427L, 1)]"
"(23, 37)","[(47, 1), (1845029930335901, 1), (375176717285846681, 1)]"
"(23, 41)","[(12597569150489143, 1), (28429, 1), (866802946161469, 1)]"
"(23, 43)","[(11264087821629961, 1), (78492680453872857413L, 1)]"
"(23, 47)","[(23, 1), (6630274723, 1), (40948079822587250236010333L, 1)]"
"(23, 61)","[(47, 1), (40957844886377442763169709027626155549L, 1)]"
"(23, 67)","[(95052547721497, 1), (159298895525201570753486381L, 1)]"
"(23, 89)","[(47, 1), (24841, 1), (1055609, 1), (6320005607441457527518012908577L, 1)]"
"(23, 97)","[(47, 1), (10021699, 1), (160026187716961, 1), (685880385513120464179L, 1)]"
"(23, 109)","[(5521, 1), (7039, 1), (454297, 1), (38064235872382907707458203006837L, 1)]"
"(23, 139)","[(1172028527, 1), (5233537024905705199556868234405617141L, 1), (23, 1)]"
"(24, 19)","[(4297, 1), (3952393, 1)]"
"(24, 23)","[(937, 1), (83575993, 1)]"
"(24, 29)","[(9001, 1), (55576681, 1)]"
"(24, 37)","[(3512477579761, 1)]"
"(24, 41)","[(432121, 1), (18478441, 1)]"
"(24, 43)","[(73, 1), (5273617, 1), (313, 1), (97, 1)]"
"(24, 47)","[(6296281, 1), (3781801, 1)]"
"(24, 53)","[(62259682520881, 1)]"
"(24, 59)","[(146830425486961, 1)]"
"(24, 61)","[(1297, 1), (147808249153, 1)]"
"(24, 67)","[(1489, 1), (272711657089, 1)]"
"(24, 71)","[(87553, 1), (7375572577, 1)]"
"(24, 73)","[(97, 1), (8314021273153, 1)]"
"(24, 79)","[(4729, 1), (3617569, 1), (88681, 1)]"
"(24, 89)","[(3936588742959841, 1)]"
"(24, 97)","[(5281, 1), (1484081330401, 1)]"
"(24, 101)","[(97, 1), (33529, 1), (3329497177, 1)]"
"(24, 109)","[(19925626275743761, 1)]"
"(24, 113)","[(241, 1), (2771497, 1), (39801193, 1)]"
"(24, 131)","[(30784724017, 1), (313, 1), (9001, 1)]"
"(24, 193)","[(74209, 1), (25941906662689, 1)]"
"(24, 241)","[(337, 1), (988676641, 1), (34154833, 1)]"
"(24, 257)","[(11161, 1), (1705147208604841, 1)]"
"(25, 5)","[(101, 1), (251, 1), (401, 1), (9384251, 1)]"
"(25, 7)","[(2551, 1), (31280679788951, 1)]"
"(25, 19)","[(101, 1), (1601, 1), (6451, 1), (36035657195482151, 1)]"
"(25, 23)","[(6551, 1), (261968569374120475321751L, 1)]"
"(25, 31)","[(13277801, 1), (4951, 1), (5, 1), (20235942281002951, 1), (101, 1)]"
"(25, 37)","[(101, 1), (2801, 1), (332951, 1), (245482016086923528751L, 1)]"
"(25, 41)","[(5, 1), (16651, 1), (259001, 1), (712301, 1), (7043251, 1), (1665438701, 1)]"
"(25, 61)","[(359398201, 1), (16203819081551, 1), (5, 1), (342989401, 1), (50951, 1)]"
"(25, 73)","[(1901, 1), (2246201, 1), (4325401928085456016477853201L, 1)]"
"(25, 89)","[(3802641100328251, 1), (255690619312203871750351L, 1)]"
"(25, 97)","[(101, 1), (53841024058423007561487815324533951201L, 1)]"
"(25, 101)","[(5, 1), (2440380080128127440061590332648845701001L, 1)]"
"(25, 151)","[(7595719904010033008065603640626272322201501L, 1), (5, 1)]"
"(25, 251)","[(4489819928701, 1), (4120791346301582425973351L, 1), (5, 1), (10648657951, 1)]"
"(26, 7)","[(53, 1), (228511817, 1)]"
"(26, 11)","[(53, 1), (911, 1), (59583967, 1)]"
"(26, 13)","[(13417, 1), (20333, 1), (79301, 1)]"
"(26, 17)","[(53, 1), (79, 1), (65651, 1), (2001793, 1)]"
"(26, 19)","[(131, 1), (313, 1), (176021, 1), (291331, 1)]"
"(26, 23)","[(21001515080686141, 1)]"
"(26, 29)","[(7489, 1), (252918667, 1), (53, 1), (3407, 1)]"
"(26, 31)","[(17863, 1), (42716694944587, 1)]"
"(26, 37)","[(53, 1), (591163, 1), (204576480239, 1)]"
"(26, 41)","[(79, 1), (432589, 1), (644522798011, 1)]"
"(26, 43)","[(53, 1), (55147, 1), (13361016018611, 1)]"
"(26, 53)","[(23909861, 1), (20165801764421, 1)]"
"(26, 61)","[(79, 1), (22283, 1), (2537237, 1), (584701729, 1)]"
"(26, 67)","[(2029, 1), (3973575555985282729, 1)]"
"(26, 71)","[(79, 1), (131, 1), (8893, 1), (677561, 1), (259496173, 1)]"
"(26, 73)","[(5669, 1), (2644669, 1), (1506911267681, 1)]"
"(26, 79)","[(131, 1), (313, 1), (1423136530102144391, 1)]"
"(26, 89)","[(244246065747870338744593L, 1)]"
"(26, 97)","[(2892928273, 1), (237393489259057, 1)]"
"(26, 101)","[(2029, 1), (7307, 1), (75258668960331767, 1)]"
"(26, 109)","[(780287, 1), (3571884578300682359, 1)]"
"(26, 127)","[(9049, 1), (165829, 1), (3444143, 1), (3379840127, 1)]"
"(26, 131)","[(53, 1), (1406497, 1), (340046440031278241, 1)]"
"(26, 157)","[(222863216567171343008063401L, 1)]"
"(26, 163)","[(53, 1), (131, 1), (313, 1), (7879, 1), (20418902995136101, 1)]"
"(26, 181)","[(13, 1), (8737, 1), (792425219, 1), (13661113788479, 1)]"
"(26, 193)","[(37919936939, 1), (70077028939427459, 1)]"
"(26, 199)","[(53, 1), (79, 1), (131, 1), (6996578982265494494029L, 1)]"
"(26, 241)","[(53, 1), (10271, 1), (12865211269, 1), (5458843783303, 1)]"
"(27, 5)","[(109, 1), (271, 1), (4159, 1), (31051, 1)]"
"(27, 7)","[(811, 1), (2583253, 1), (3, 1), (109, 1), (2377, 1)]"
"(27, 17)","[(433, 1), (24733, 1), (1313154695584063, 1)]"
"(27, 19)","[(3, 1), (487, 1), (216919, 1), (907471, 1), (362063089, 1)]"
"(27, 23)","[(4591, 1), (15785281, 1), (44765293701223, 1)]"
"(27, 29)","[(52813, 1), (2284147, 1), (1744612878442321, 1)]"
"(27, 37)","[(8803, 1), (156560434885225009, 1), (3, 1), (4085047, 1)]"
"(27, 41)","[(541, 1), (4969, 1), (39869717560346276949727L, 1)]"
"(27, 43)","[(76361785536696841, 1), (3, 1), (1102642863391, 1)]"
"(27, 53)","[(757, 1), (1459, 1), (89533, 1), (1486396441, 1), (74079268957, 1)]"
"(27, 67)","[(3, 1), (246731837952260027807871804675919L, 1)]"
"(27, 71)","[(435187, 1), (2354239, 1), (2051747030353434227101L, 1)]"
"(27, 73)","[(3465863721549107262955059293643483L, 1)]"
"(27, 79)","[(2355330006901, 1), (3, 1), (379, 1), (5363835045831949213, 1)]"
"(27, 89)","[(109, 1), (266367259, 1), (4227783894087055163599861L, 1)]"
"(27, 101)","[(723439, 1), (1653418568375032120019428396177L, 1)]"
"(27, 109)","[(4717120417286669421782923937039862711L, 1)]"
